oracle_id,school_name,FY 2017 Ending Budget
65015,Ombudsman Chicago West,4006531
24771,Oriole Park School,5326310
31281,Orozco Academy,5659089
28151,Orr Academy,4691398
22331,Orville T Bright Elementary School,3689418
26631,Oscar Depriest School,6428153
24401,Oscar F Mayer Elementary School,6914115
12694,Other Government Funded,2100081
69219,Our Lady Of Grace School,84755
69220,Our Lady Of Guadalupe School,99157
69069,Our Lady Of Tepeyac,134735
69230,Our Lady Of The Snows School,92661
69233,Our Lady Of Victory School,2794
69084,Our Lady of Charity,479
69405,Our Lady of Tepeyac High School,65488
69501,P L A I D Academy,57559
24011,Pablo Casals,3755112
24841,Park Manor Elementary School,3281789
31201,Parkside Community Academy School,2799328
69534,Pass It On Academy,52084
66191,Passages Charter School,4598168
65018,Pathways in Education,2356794
65016,Pathways in Education Avondale,2626404
66801,Pathways in Education Brighton Park,3208975
23731,Patrick Henry School,4827092
23881,Paul Cuffe Elementary School,3703509
25121,Paul Revere Accelerated School,2550347
46121,Paul Robeson High School,2878478
12450,Payroll Services,2112693
67021,Peace and Education Coalition High School,2955517
12470,Pension & Liability Insurance - City Wide,616009108
46401,Percy L Julian High School,8576847
22161,Perkins Bass School,4461982
11952,Pershing East,3155
66056,Perspectives - Math and Science Academy,5403004
66052,Perspectives Charter School - Calumet Campus,5607010
66051,Perspectives Charter School - Rodney D. Joslin Campus,4720744
66053,Perspectives Charter School- Calumet High School of Technology,4410339
25111,Peter A Reinberg,8122777
22831,Peter Cooper Dual Language Academy,5094605
22061,Philip D Armour School,3042526
29221,Philip Murray Language Academy,4567452
25141,Philip Rogers School,6664268
23671,Phoebe Apperson Hearst School,4684309
55011,Phoenix Military Academy,6194710
31141,Pilsen Community Academy,4330116
